Date,aapl.csv,acn.csv,amzn.csv,cost.csv,dis.csv,f.csv,fb.csv,gild.csv,googl.csv,jpm.csv,ko.csv,luv.csv,ma.csv,msft.csv,pfe.csv,tsla.csv,unh.csv,xom.csv
01/02/18,172.2600,153.8400,1189.0100,188.3200,111.8000,12.6600,181.4200,74.1000,1073.2100,107.9500,45.5400,66.2900,151.9100,85.9500,36.4400,320.5300,221.1600,85.0300
01/03/18,172.2300,154.5500,1204.2000,190.5800,112.2800,12.7600,184.6700,74.6600,1091.5200,108.0600,45.4400,64.9100,153.8200,86.3500,36.7100,317.2500,223.4800,86.7000
01/04/18,173.0300,156.3800,1209.5900,189.1000,112.2300,12.9800,184.3300,73.9000,1095.7600,109.0400,46.0800,64.7000,155.8100,87.1100,36.7900,314.6200,224.4500,86.8200
01/05/18,175.0000,157.6700,1229.1400,187.7500,111.6200,13.2000,186.8500,74.5200,1110.2900,108.3400,46.0700,64.3200,159.0400,88.1900,36.8600,316.5800,228.7300,86.7500
01/08/18,174.3500,158.9300,1246.8700,188.4800,110.0200,13.1500,188.2800,74.4000,1114.2100,108.5000,46.0000,64.0000,159.2700,88.2800,36.4500,336.4100,224.7600,87.1400
01/09/18,174.3300,159.4600,1252.7000,186.2900,109.9400,13.0800,187.8700,78.1000,1112.7900,109.0500,46.2300,62.3800,159.5000,88.2200,36.4100,333.6900,225.8800,86.7700
01/10/18,174.2900,158.9000,1254.3300,185.4200,109.4700,13.0300,187.8400,78.7100,1110.1400,110.2500,46.0700,62.9600,159.8600,87.8200,36.4700,334.8000,224.2000,86.0800
01/11/18,175.2800,159.1100,1276.6800,189.3800,110.9900,13.1600,187.7700,79.0600,1112.0500,110.8400,46.0400,64.8400,160.9200,88.0800,36.5600,337.9500,225.3900,86.9300
01/12/18,177.0900,160.1100,1305.2000,191.8400,112.4700,13.2300,179.3700,79.0200,1130.6500,112.6700,46.1500,65.3600,162.3300,89.6000,36.5400,336.2200,228.6400,87.5200
01/16/18,176.1900,157.9600,1304.8600,191.5300,110.6900,13.1000,178.3900,80.2500,1130.7000,112.2700,46.5300,65.4700,162.2900,88.3500,36.6000,340.0600,232.9000,86.9700
